polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
IND-1800-1893,India (to 1893),historical,Asia,1800,1893,IND,polity,1,3,4
IND-1800-1947,India (to 1947),historical,Asia,1800,1947,IND,polity,1,3,4
IDN-1800-1889,Indonesia (to 1889),historical,Asia,1800,1889,IDN,polity,0,4,4
KHI-1800-1873,Khiva,historical,Asia,1800,1873,KHI,polity,0,1,1
KHI-1800-1920,Khiva (to 1920),historical,Asia,1800,1920,KHI,polity,0,1,1
KOK-1800-1876,Kokand,historical,Asia,1800,1876,KOK,polity,0,1,1
OKO-1800-1910,Korea (to 1910),historical,Asia,1800,1910,OKO,polity,0,1,1
OTT-1800-1912,Ottoman Empire,historical,Asia,1800,1912,OTT,polity,0,1,1
PER-1800-1896,Perak (to 1896),historical,Asia,1800,1896,PER,polity,0,1,1
SEL-1800-1896,Selangore (to 1896),historical,Asia,1800,1896,SEL,polity,0,1,1
THA-1800-1893,Thailand (to 1893),historical,Asia,1800,1893,THA,polity,0,4,4
VNM-1800-1893,Vietnam (to 1893),historical,Asia,1800,1893,VNM,polity,0,1,1
BRN-1816-1888,Brunei (greater),historical,Asia,1816,1888,BRN,polity,0,4,4
CHE-1816-1857,Chechnya,historical,Asia,1816,1857,CHE,polity,0,1,1
CIR-1816-1861,Circassia,historical,Asia,1816,1861,CIR,polity,0,1,1
